ID,Name,Type,Sub-Type,Syze,Hit dice,Dice Type,Life Bonus,Initiative,Speed,Armor Class,Base Attack,Grapple,Attack,Full Attack,Space|Reach,Special Attacks,Special Qualities,Fortitude,Reflexes,Will,Str,Dex,Con,Int,Wis,Cha,Skills,Feats,Enviroments,Challenge Rating,Treasure,Alignment,LvL Adjustment,Organization,Advancement
84,Shambling Mound,Plant,-,Large,8,d8,24,0,4|0|4|0|0,20|9|20,6,15,Slam +11 melee (2d6+5),2 Slam +11 melee (2d6+5),2|2,Improved grab| constrict 2d6+7,Darkvision 60 ft.| immunity to electricity| low-light vision| plant traits| resistance to fire 10,9,2,4,21,10,17,7,10,9,Hide +3* Listen +8| Move Silently +8,Iron Will| Power Attack| Weapon Focus (slam),Temperate marshes,6,1/10th coins| 50% goods| 50% items,Neutral Neutral,6,Solitary,9–12 HD (Large)| 13–24 HD (Huge)
85,Basilisk,Magical Beast,-,Medium,6,d10,12,-1,4|0|0|0|0,16|9|16,6,8,Bite +8 melee (1d8+3),Bite +8 melee (1d8+3),1|1,-,Darkvision 60 ft.| low-light vision,9,4,3,15,8,15,2,12,11,Listen +7| Spot +7,Alertness| Blind Fight| Great Fortitude,Warm deserts,5,None,Neutral Neutral,-,Solitary or colony (3–6),7–10 HD (Medium)| 11–18 HD (Large)
86,Behir,Magical Beast,-,Huge,9,d10,45,1,8|0|0|0|3,20|9|19,9,25,Bite +15 melee (2d4+12),Bite +15 melee (2d4+12),3|2,	Breath weapon| constrict 2d8+8| improved grab| rake 1d4+4| swallow whole,Can’t be tripped| darkvision 60 ft.| immunity to electricity| low-light vision| scent,11,7,5,23,13,21,7,14,12,	Climb +16| Hide +5| Listen +4| Spot +4| Survival +2,Alertness| Cleave| Power Attack| Track,Warm hills,8,Standard,Neutral Neutral,-,Solitary or pair,10–13 HD (Huge)| 14–27 HD (Gargantuan)
87,Bugbear,Humanoid,Globlinoid,Medium,3,d8,3,1,6|0|0|0|0,17|11|16,2,4,Morningstar +5 melee (1d8+2) or javelin +3 ranged (1d6+2),Morningstar +5 melee (1d8+2) or javelin +3 ranged (1d6+2),1|1,-,Darkvision 60 ft.| scent,2,4,1,15,12,13,10,10,9,Climb +3| Hide +4| Listen +4| Move Silently +6| Spot +4,Alertness| Weapon Focus (morningstar),Temperate mountains,2,Standard,Chaotic Evil,1,Solitary| gang (2–4)| or band (11–20 plus 150% noncombatants plus 2 2nd-level sergeants and 1 leader of 2nd–5th level),By character class
88,Gnoll,Humanoid,-,Medium,2,d8,2,0,6|0|0|0|0,15|10|15,1,3,Battleaxe +3 melee (1d8+2/x3) or shortbow +1 ranged (1d6/x3),Battleaxe +3 melee (1d8+2/x3) or shortbow +1 ranged (1d6/x3),1|1,-,Darkvision 60 ft.,4,0,0,15,10,13,8,11,8,Listen +2| Spot +3,Power Attack,Warm plains,1,Standard,Chaotic Evil,1,Solitary| pair| hunting party (2–5 and 1–2 Hyena)| band (10–100 plus 50% noncombatants plus 1 3rd-level sergeant per 20 adults and 1 leader of 4th–6th level and 5–8 Hyena)| or tribe (20–200 plus 1 3rd-level sergeant per 20 adults| 1 or 2 lieutenants of 4th or 5th level| 1 leader of 6th–8th level| and 7–12 Hyena| underground lairs also have 1–3 troll),	By character class
89,Locathah,Humanoid,Aquatic,Medium,2,d8,0,1,2|0|12|0|0,14|11|13,1,1,longspear +2 melee (1d8/x3) or light crossbow +2 ranged (1d8/19–20),longspear +2 melee (1d8/x3) or light crossbow +2 ranged (1d8/19–20),1|1,-,-,3,1,1,10,12,10,13,13,11,Craft (any one) +6| Listen +6| Spot +6| Swim +8,Weapon Focus (longspear),Warm aquatic,0.5,Standard,Neutral Neutral,1,Company (2–4)| patrol (11–20 plus 2 3rd-level sergeants and 1 leader of 3rd–6th level)| or tribe (30–100 plus 100% noncombatants plus 1 3rd-level sergeant per 10 adults| 5 5th-level lieutenants| and 3 7th-level captains),By character class
90,Lizardfolk,Humanoid,Reptilian,Medium,2,d8,2,0,6|0|0|0|0,15|10|15,1,2,Claw +2 melee (1d4+1) or club +2 melee (1d6+1) or javelin +1 ranged (1d6+1),2 claws +2 melee (1d4+1) and bite +0 melee (1d4)| or club +2 melee (1d6+1) and bite +0 melee (1d4)| or javelin +1 ranged (1d6+1),1|1,-,Hold breath,1,3,0,13,10,13,9,10,10,Balance +4| Jump +5| Swim +2,Multiattack,Temperate marshes,1,	50% coins| 50% goods| 50% items,Neutral Neutral,1,Gang (2–3)| band (6–10 plus 50% noncombatants plus 1 leader of 3rd–6th level)| or tribe (30–60 plus 2 lieutenants of 3rd–6th level and 1 leader of 4th–10th level),By character class
91,Ooze Mephit,Outsider,Extraplanar| Water,Small,3,d8,6,0,6|8|6|0|0,16|11|16,3,1,Claw +6 melee (1d3+2) ,2 claws +6 melee (1d3+2) ,1|1,Breath weapon| spell-like abilities| summon mephit,Damage reduction 5/magic| darkvision 60 ft.| fast healing 2,4,3,3,14,10,13,6,11,15,Bluff +8| Escape Artist +6| Hide +10| Listen +6| Diplomacy +4| Disguise +2 (+4 acting)| Move Silently +6| Spot +6| Swim +10| Use Rope +0 (+2 with bindings),Power Attack| Toughness,Elemental Plane of Water,3,Standard,Neutral Neutral,3,Solitary (1)| gang (2–4 mephits of mixed types)| or mob (5–12 mephits of mixed types),4–6 HD (Small)| 7–9 HD (Medium)
92,Phaethon,Outsider,Evil| Extraplanar| Fire,Gargantuan,62,d8,806,15,24|0|0|24|0,47|13|40,62,98,pseudopod slam +85 (4d8+24 plus fire damage) melee,8 pseudopod slams +85 (4d8+24 plus fire damage) melee,4|2,Fiery touch| fiery overrun| spell-like abilities| improved grab| swallow whole| summon elder fire elemental,Abomination traits| immunity to fire| vulnerability to cold| oozelike immunities| regeneration 25| fast healing 25| SR 46| DR 15/epic lawful and epic,48,42,43,58,25,36,8,18,39,Climb +89| Craft (metalworking| stoneworking) +29| Hide +12| Jump +69| Knowledge (geography) +64| Listen +71| Move Silently +72| Search +64| Spot +71, 	Alertness| Blinding Speed (×5)| Cleave| Epic Toughness (×3)| Epic Weapon Focus (slam)| Epic Will| Great Cleave| Great Fortitude| Improved Initiative| Improved Sunder| Iron Will| Lightning Reflexes| Power Attack| Superior Initiative| Weapon Focus (slam),Any,34,Standard,Chaotic Evil,-,Solitary| or in company of 1–10 elder fire elementals,63–80 HD (Gargantuan)| 81–186 HD (Colossal)
93,Phane,Outsider,Chaotic| Evil| Extraplanar| Incorporeal,Large,36,d8,324,11,16|24|0|0|0,50|50|43,36,-,Incorporeal touch +43 (1d6 plus stasis touch) melee,Incorporeal touch +43 (1d6 plus stasis touch) melee,2|2,Spell-like abilities| stasis touch| chronal blast| time leach| summon past time duplicate,Abomination traits| null time field| time regression| fast healing 15| regeneration 15| SR 37| DR 15/epic| sonic immunity,31,29,29,-,25,28,24,16,33,Balance +46| Concentration +48| Diplomacy +50| Hide +42| Jump +20| Knowledge (arcana| religion| the planes) +46| Listen +44| Move Silently +46| Search +46| Sense Motive +42| Spellcraft +46| Spot +44| Swim +39| Tumble +46,Alertness| Blinding Speed| Combat Reflexes| Dodge| Epic Toughness (×2)| Epic Will| Great fortitude| Improved Initiative| Iron Will| Lightning Reflexes| Spell Stowaway (time stop)| Weapon Focus (incorporeal touch) ,Any,25,None,Chaotic Evil,-,Solitary or pair,37–50 HD (Large)| 51–65 HD (Huge)
94,Pit Fiend,Outsider,Devil| Extraplanar| Evil| Lawful,Large,18,d8,144,12,8|12|0|0|0,40|17|32,18,35, Claw +30 melee (2d8+13), 2 claws +30 melee (2d8+13) and 2 wings +28 melee (2d6+6) and bite +28 melee (4d6+6 plus poison plus disease) and tail slap +28 melee (2d8+6),2|2,Constrict 2d8+26| fear aura| improved grab| spell-like abilities| summon devil,Damage reduction 15/good and silver| darkvision 60 ft.| immunity to fire and poison| resistance to acid 10 and cold 10| regeneration 5| see in darkness| spell resistance 32| telepathy 100 ft.,19,19,21,37,27,27,26,26,26,Balance +10| Bluff +29| Climb +34| Concentration +29| Diplomacy +10| Disguise +29 (+31 acting)| Hide +25| Intimidate +31| Jump +40| Knowledge (arcana) +29| Knowledge (nature) +10| Knowledge (the planes) +29| Knowledge (religion) +29| Listen +29| Move Silently +29| Search +29| Spellcraft +31| Spot +29| Survival +8 (+10 on other planes| +10 when tracking)| Tumble +31,Cleave| Great Cleave| Improved Initiative| Iron Will| Multiattack| Power Attack| Quicken Spell-Like Ability (fireball),Lawful Evil-Aligned Plane,20,Standard coins| double goods| standard items,Lawful Evil,-,Solitary| pair| team (3–4)| or troupe (1–2 pit fiends| 2–5 horned devils| and 2–5 barbed devils),19–36 HD (Large)| 37–54 HD (Huge)
95,Planetar,Outsider,Angel| Extraplanar| Good,Large,14,d8,70,8,6|18|0|0|0,32|13|28,14,25, +3 greatsword +23 melee (3d6+13/19–20) or slam +20 melee (2d8+10), +3 greatsword +23/+18/+13 melee (3d6+13/19–20) or slam +20 melee (2d8+10),2|2,Spell-like abilities| spells,Damage reduction 10/evil| darkvision 60 ft.| low-light vision| immunity to acid| cold| and petrification| protective aura| regeneration 10| resistance to electricity 10 and fire 10| spell resistance 30| tongues,14,13,15,25,19,20,22,23,22,Concentration +22| Craft or Knowledge (any four) +23| Diplomacy +25| Escape Artist +21| Hide +17| Intimidate +23| Listen +23| Move Silently +21| Sense Motive +23| Search +23| Spot +23| Use Rope +4 (+6 with bindings),Blind Fight| Cleave| Improved Initiative| Improved Sunder| Power Attack,Good Aligned-Plane,16,No coins| double goods| standard items,Good,-,Solitary or pair,15–21 HD (Large)| 22–42 HD (Huge)
96,Troglodyte,Humanoid,Reptilian,Medium,2,d8,4,-1,6|0|0|0|0,15|9|15,1,1,Club +1 melee (1d6) or claw +1 melee (1d4) or javelin +1 ranged (1d6),Club +1 melee (1d6) and claw –1 melee (1d4) and bite –1 melee (1d4)| or 2 claws +1 melee (1d4) and bite –1 melee (1d4)| or javelin +1 ranged (1d6),1|1,Stench,	Darkvision 90 ft.,5,-1,0,10,9,14,8,10,10,Hide +5*| Listen +3,Multiattack| Weapon Focus (javelin),Underground,1,50% coins| 50% goods| 50% items,Chaotic Evil,2,	Clutch (2–5)| squad (6–11 plus 1–2 monitor lizards)| or band (20–80 plus 20% noncombatants plus 3–13 monitor lizards),By character class
97,Bullywug,Humanoid,Aquatic,Medium,1,d8,3,0,4|6|0|0|0,15|10|15,0,0,Halfspear +1 melee| or halfspear +1 ranged,zHalfspear +1 (1d6) melee| or halfspear +1 ranged (1d6),1|1,-,: Marsh move| summoning (clerics only),5,0,-2,10,10,16,7,7,7,Hide +0*| Listen –2| Spot –2,Endurance,Temperate and warm aquatic and marsh,1,Standard,Chaotic Evil,-,Solitary (1)| pad (4)| float (8)| or pond (16–48),By character class
98,Orc[Warrior lvl1],Humanoid,-,Medium,1,d8,8,0,6|0|0|0|0,13|10|13,1,4,Falchion +4 melee (2d4+4/18–20) or javelin +1 ranged (1d6+3),Falchion +4 melee (2d4+4/18–20) or javelin +1 ranged (1d6+3),1|1,-,Darkvision 60 ft.| light sensitivity,3,0,-2,17,11,12,8,7,6,Listen +1| Spot +1,Alertness| Blinding Speed| Combat Reflexes| Dodge| Epic Toughness (×2)| Epic Will| Great fortitude| Improved Initiative| Iron Will| Lightning Reflexes| Spell Stowaway (time stop)| Weapon Focus (incorporeal touch) ,Temperate hills,0.5,Standard,Chaotic Evil,0,Gang (2–4)| squad (11–20 plus 2 3rd-level sergeants and 1 leader of 3rd–6th level)| or band (30–100 plus 150% noncombatants plus 1 3rd-level sergeant per 10 adults| 5 5th-level lieutenants| and 3 7th-level captains),By character class
99,Goblin[Warrior lvl1],Humanoid,Globlinoid,Medium,1,d8,1,1,6|0|0|0|0,15|12|14,1,-3,Morningstar +2 melee (1d6) or javelin +3 ranged (1d4),Morningstar +2 melee (1d6) or javelin +3 ranged (1d4),1|1,-,Darkvision 60 ft.,3,1,-1,11,13,12,10,9,6,Hide +5| Listen +2| Move Silently +5| Ride +4| Spot +2,Alertness,Temperate plains,0.33,Standard,Neutral Evil,0,Gang (4–9)| band (10–100 plus 100% noncombatants plus 1 3rd-level sergeant per 20 adults and 1 leader of 4th–6th level)| warband (10–24 with worg mounts)| or tribe (40–400 plus 100% noncombatants plus 1 3rd-level sergeant per 20 adults| 1 or 2 lieutenants of 4th or 5th level| 1 leader of 6th–8th level| 10–24 worgs| and 2–4 dire wolves),By character class
100,Kobold[Warrior lvl1],Humanoid,Reptilian,Small,1,d8,0,1,6|0|0|0|0,15|12|14,1,-4,Spear +1 melee (1d6–1/x3) or sling +3 ranged (1d3),Spear +1 melee (1d6–1/x3) or sling +3 ranged (1d3),1|1,-,Darkvision 60 ft.| light sensitivity,2,1,-1,9,13,10,10,9,8,Craft (trapmaking) +2| Hide +6| Listen +2| Move Silently +2| Profession (miner) +2| Search +2| Spot +2,Alertness,Temperate forests,0.25,Standard,Lawful Evil,0,Gang (4–9)| band (10–100 plus 100% noncombatants plus 1 3rd-level sergeant per 20 adults and 1 leader of 4th–6th level)| warband (10–24 plus 2–4 dire weasels)| tribe (40–400 plus 1 3rd-level sergeant per 20 adults| 1 or 2 lieutenants of 4th or 5th level| 1 leader of 6th–8th level| and 5–8 dire weasels),By character class
101,Hobgoblin[Warrior lvl1],Humanoid,Globlinoid,Medium,1,d8,2,1,6|0|0|0|0,15|11|14,1,2,Longsword +2 melee (1d8+1/19–20) or javelin +2 ranged (1d6+1),Longsword +2 melee (1d8+1/19–20) or javelin +2 ranged (1d6+1),1|1,-,Darkvision 60 ft.,4,1,-1,13,13,14,10,9,8,Hide +3| Listen +2| Move Silently +3| Spot +2,Alertness,Warm hills,0.50,Standard,Lawful Evil,1,Gang (4–9)| band (10–100 plus 50% noncombatants plus 1 3rd-level sergeant per 20 adults and 1 leader of 4th–6th level)| warband (10–24)| or tribe (30–300 plus 50% noncombatants plus 1 3rd-level sergeant per 20 adults| 1 or 2 lieutenants of 4th or 5th level| 1 leader of 6th–8th level| 2–4 dire wolves| and 1–4 ogres or 1–2 troll),By character class
102,Giant Bee,Vermin,-,Medium,3,d8,0,2,4|16|0|0|0,14|12|12,2,2,Sting +2 melee (1d4 plus poison),Sting +2 melee (1d4 plus poison),1|1,Poison,Darkvision 60 ft| vermin traits,3,3,3,11,14,11,-,12,9,Spot +5| Survival +1,-,Temperate Plains,1,        No coins| 1/4 goods (honey only)| no items,Neutral Neutral,-,Solitary| buzz (2–5)| or hive (11–20),4–6 HD (Medium)| 7–9 HD (Large)
103,Mohrg,Undead,-,Medium,14,d12,0,9,6|0|0|0|0,23|14|14,7,12,Slam +12 melee (1d6+7) or tongue +12 melee touch (paralysis),Slam +12 melee (1d6+7) and tongue +12 melee touch (paralysis),1|1,Improved grab| paralyzing touch| create spawn,Darkvision 60 ft.| undead traits,4,10,9,21,19,-,11,10,10,	Climb +13| Hide +21| Listen +11| Move Silently +21| Spot +15| Swim +9,Alertness| Dodge| Improved Initiative| Lightning Reflexes| Mobility,Any,8,None,Chaotic Evil,-,Solitary| gang (2–4)| or mob (2–4 plus 5–10 zombies),15–21 HD (Medium)| 22–28 HD (Large)
104,Wraith,Undead,Incorporeal,Medium,5,d12,0,7,0|12|0|0|0,15|15|12,2,-,Incorporeal touch +5 melee (1d4 plus 1d6 Constitution drain),Incorporeal touch +5 melee (1d4 plus 1d6 Constitution drain),1|1,Constitution drain| create spawn,Darkvision 60 ft.| daylight powerlessness| incorporeal traits| +2 turn resistance| undead traits| unnatural aura,1,4,6,-,16,-,14,14,15,Diplomacy +6| Hide +11| Intimidate +10| Listen +12| Search +10| Sense Motive +8| Spot +12| Survival +2 (+4 following tracks),Alertness| Blind Fight| Combat Reflexes| Improved Initiative,Any,5,None,Lawful Evil,-,	Solitary| gang (2–5)| or pack (6–11),6–10 HD (Medium)
105,Giant Ant(Worker),Vermin,-,Medium,2,d8,0,2,10|0|0|0|4,17|10|17,1,1,	Bite +1 melee (1d6),	Bite +1 melee (1d6),1|1,Improved grab,Scent| vermin traits,3,0,0,10,10,10,-,11,9,Climb +8,Track,Temperate Plains,1,None,Neutral Neutral,-,	Gang (2–6) or crew (6–11 plus 1 giant ant soldier),3–4 HD (Medium)| 5–6 HD (Large)
106,Allip,Undead,Incorporeal,Medium,4,d12,0,5,0|6|0|0|0,15|15|12,2,-,Incorporeal touch +3 melee (1d4 Wisdom drain),Incorporeal touch +3 melee (1d4 Wisdom drain),1|1,Babble| madness| Wisdom drain,Darkvision 60 ft.| incorporeal traits| +2 turn resistance| undead traits,1,4,4,-,12,-,11,11,18,Hide +8| Intimidate +7| Listen +7| Search +4| Spot +7| Survival +0 (+2 following tracks),Improved Initiative| Lightning Reflexes,Any,3,None,Neutral Evil,-,Solitary,5–12 HD (Medium)
107,Atropal,Undead,Evil| Extraplanar| Lawful,Large,66,d12,0,6,1|48|0|0|0,51|12|49,33,53,Touch +49 (2d6 Con drain/19-20) melee touch,2 touches +49 (2d6 Con drain/19-20) melee touch| eye ray +30 (Energy Drain damage/19-20) ranged touch,2|2,Constitution drain| Energy Drain (2d4 Energy Drains| fort=DC 59)| spell-like abilities| summon nightcrawler,Abomination traits| undead traits| rebuke/command undead| regeneration 20| SR 42| DR 15/good and epic and silver| negative energy aura,22,26,43,43,15,-,28,22,42,Bluff +85| Concentration +85| Diplomacy +97| Hide -2| Jump +1| Intimidate +91| Knowledge (arcana| history| religion| the planes) +78| Listen +77| Search +78| Sense Motive +75| Spellcraft +84| Spot +77,Alertness| Cleave| Combat Expertise| Devastating Critical (touch)| Dodge| Great Cleave| Improved Bull Rush| Improved Critical (eye ray)| Improved Critical (touch)| Improved Initiative| Iron Will| Lightning Reflexes| Mobility| Overwhelming Critical (touch)| Power Attack| Quicken Spell-Like Ability| Run| Spring Attack| Undead Mastery| Weapon Focus (eye ray)| Weapon Focus (touch)| Whirlwind Attack| Zone of Animation,Any,30,Standard,Lawful Evil,-,Solitary,67–80 HD (Large)| 81–100 HD (Huge)
108,Giant Ant(Soldier),Vermin,-,Medium,2,d8,2,2,10|0|0|0|4,17|10|17,1,3,	Bite +3 melee (2d4+3),	Bite +3 melee (2d4+3),1|1,	Improved grab| acid sting,Scent| vermin traits,4,0,1,14,10,13,-,13,11,Climb +10,Track,Temperate Plains,2,None,Neutral Neutral,-,Solitary or gang (2–4),:	3–4 HD (Medium)| 5–6 HD (Large)
109,Giant Ant(Queen),Vermin,-,Medium,4,d8,4,-1,8|0|0|0|0,17|8|17,3,10,Bite +5 melee (2d6+4),Bite +5 melee (2d6+4),2|1,        Improved grab,Scent| vermin traits,5,0,2,16,9,13,-,13,11,-,Track,Temperate Plains,2,1/10 coins| 50% goods| 50% items,Neutral Neutral,-,Hive (1 plus 10–100 workers and 5–20 soldiers),5–6 HD (Large)| 7–8 HD (Huge)
110,Bodak,Undead,Extraplanar,Medium,9,d12,0,6,4|0|0|0|0,20|12|18,4,5,Slam +6 melee (1d8+1),Slam +6 melee (1d8+1),1|1,Death gaze,Damage reduction 10/cold iron| darkvision 60 ft.| immunity to electricity| resistance to acid 10 and fire 10| undead traits| vulnerability to sunlight,3,5,7,13,15,-,6,12,12,Listen +11| Move Silently +10| Spot +11,Alertness| Dodge| Improved Initiative| Weapon Focus (slam),	A chaotic evil-aligned plane,8,None,Chaotic Evil,-,Solitary or gang (2–4),10–13 HD (Medium)| 14–27 HD (Large)
111,Derro,Monstrous Humanoid,-,Small,3,d8,3,6,4|0|0|0|0,19|13|17,3,-1,Short sword +4 melee (1d4/19–20) or repeating light crossbow +6 ranged (1d6/19–20 plus poison),Short sword +4 melee (1d4/19–20) or repeating light crossbow +6 ranged (1d6/19–20 plus poison),1|1,Poison use| spell-like abilities| sneak attack +1d6,Madness| spell resistance 15 vulnerability to sunlight,2,5,6,11,14,13,10,5,16,Bluff +5| Hide +10| Listen +1| Move Silently +8,Blind Fight| Improved Initiative,Underground,3,Standard coins| double goods| standard items,Chaotic Evil,2,Team (2–4)| squad (5–8 plus 1 3rd-level sorcerer)| or band (11–20 plus 30% noncombatants plus 3 3rd-level sorcerers and 1 sorcerer of 5th–8th level),By character class
112,Caller In Darkness,Undead,Incorporeal| Psionic,Large,11,d12,0,7,6|6|0|0|0,14|14|11,5,-,	Incorporeal touch +7 melee (2d6),4 incorporeal touches +7 melee (2d6),2|2,Psi-like abilities| steal essence,Incorporeal traits| undead traits| unnatural aura| vulnerability to sunlight,3,6,7,-,16,-,14,14,15,Hide +9| Intimidate +12| Knowledge (psionics) +12| Listen +14| Psicraft +12| Search +12| Sense Motive +12| Spot +14,Blind Fight| Combat Reflexes| Improved Initiative| Weapon Finesse,	Underground,9,None,Chaotic Evil,-,Solitary,12–22 HD (Large)| 23–33 HD (Huge)
113,Demilich,Undead,-,Diminutive,21,d12,0,7,0|36|0|0|0,51|40|48,10,-2,        Touch +35 (10d6+20 plus paralyzing touch) melee,Touch +35 (10d6+20 plus paralyzing touch) melee,0.2|0,Trap the soul| fear aura| paralyzing touch| 21st-level wizard spellcaster| Perfect Automatic Still Spell| spell-like abilities,Magic immunity| phylactery transference| turn resistance +20| DR 15/Epic and bludgeoning| undead traits| acid resistance 20| fire resistance 20| sonic resistance 20| immune to cold| electricity| polymorph| and mind-affecting attacks.,10,12,17,10,16,-,39,24,20,Concentration +25| Craft (alchemy) +34| Hide +35| Knowledge (arcana| religion| the planes) +34| Knowledge (history) +26| Listen +27| Move Silently +23| Search +34| Sense Motive +27| Spellcraft +36| Spot +27,Brew Potion| Combat Casting| Craft Wondrous Item| Enlarge Spell| Heighten Spell| Improved Initiative| Lightning Reflexes| Maximize Spell| Quicken Spell| Scribe Scroll| Spell Penetration| Toughness| Automatic Quicken Spell| Blinding Speed| Improved Spell Capacity (10th)| Tenacious Magic (any),Any,29,Standard,Neutral Evil,-,Solitary,By character class
114,Devourer,Undead,Extraplanar,Large,12,d12,0,4,6|0|0|0|0,24|9|24,6,19,Claw +15 melee (1d6+9),2 claws +15 melee (1d6+9),2|2,Energy drain| trap essence| spell-like abilities,Darkvision 60 ft.| spell deflection| spell resistance 21| undead traits,4,4,11,28,10,-,16,16,17,Climb +24| Concentration +18| Diplomacy +5| Jump +24| Listen +18| Move Silently +15| Search +10| Sense Motive +11| Spot +18| Survival +3 (+5 following tracks),Blind Fight| Combat Casting| Combat Expertise| Improved Initiative| Weapon Focus (claw),Any,11,None,Neutral Evil,-,Solitary,13–24 HD (Large)| 25–36 HD (Huge)
115,Dread Wraith,Undead,Incorporeal,Large,16,d12,0,16,0|12|0|0|0,25|25|16,8,-,Incorporeal touch +16 melee (2d6 plus 1d8 Constitution drain),Incorporeal touch +16 melee (2d6 plus 1d8 Constitution drain),2|2,Constitution drain| create spawn,Constitution drain| create spawn,5,14,14,-,28,-,17,18,24,Diplomacy +9| Hide +24| Intimidate +26| Knowledge (religion) +22| Listen +25| Search +22| Sense Motive +23| Spot +25| Survival +4 (+6 following tracks),Alertness| Blind Fight| Combat Reflexes| Dodge| Improved Initiative| Improved Natural Attack (incorporeal touch)| Mobility| Spring Attack,Any,11,None,Lawful Evil,-,Solitary,17–32 HD (Large)
116,Ghast,Undead,-,Medium,4,d12,3,3,6|0|0|0|0,17|12|14,2,5,Bite +5 melee (1d8+3 plus paralysis),Bite +5 melee (1d8+3 plus paralysis) and 2 claws +3 melee (1d4+1 plus paralysis),1|1,Ghoul fever| paralyis| stench,Darkvision 60 ft.| undead traits| +2 turn resistance,1,4,6,17,17,-,13,14,16,Balance +7| Climb +9| Hide +8| Jump +9| Move Silently +8| Spot +8,Multiattack| Toughness,Any,3,Standard,Chaotic Evil,-,Solitary,5–8 HD (Medium)
117,Ghoul,Undead,-,Medium,2,d12,0,3,6|0|0|0|0,14|12|12,1,2,Bite +2 melee (1d6+1 plus paralysis),Bite +2 melee (1d6+1 plus paralysis) and 2 claws +0 melee (1d3 plus paralysis),1|1,-,Darkvision 60 ft.| undead traits| +2 turn resistance,0,2,5,13,15,-,13,14,12,Balance +6| Climb +5| Hide +6| Jump +5| Move Silently +6| Spot +7,Multiattack,Any,1,None,Chaotic Evil,-,Solitary| gang (2–4)| or pack (7–12),3 HD (Medium)
118,Hunefer,Undead,-,Medium,50,d12,3,16,200|0|0|0|0,52|32|30,25,43,Slam +44 (3d6+18/19–20 (+1d6 on critical hit) plus hunefer rot),2 slams +44 (3d6+18/19–20 (+1d6 on critical hit) plus hunefer rot),1|1,Despair| hunefer rot| spell-like abilities,Blindsight 300 ft.| DR 10/–| fast healing 30| SR 37| undead traits| fire vulnerability,18,30,41,47,35,-,18,38,36,Concentration +66| Jump +46| Knowledge (religion| the planes) +57| Listen +67| Search +57| Sense Motive +67| Spellcraft +57| Spot +67,Cleave| Combat Reflexes| Devastating Critical (slam)| Dodge| Expertise| Great Cleave| Great fortitude| Improved Critical (slam)| Improved Disarm| Improved Initiative| Lightning Reflexes| Mobility| Overwhelming Critical (slam)| Power Attack| Spell Stowaway (greater teleport)| Toughness| Weapon Focus (slam),Any,25,Standard,Lawful Evil,-,Solitary| pair| or court (5–9),51–56 HD (Medium-size)| 57–60 HD (Large)| 61–66 HD (Huge)| 67–70 HD (Gargantuan)| 71+ HD (Colossal)
119,Lacedon,Undead,Aquatic,Medium,2,d12,0,2,6|0|0|0|0,14|12|12,1,2,Bite +2 melee (1d6+1 plus paralysis),Bite +2 melee (1d6+1 plus paralysis) and 2 claws +0 melee (1d3 plus paralysis),1|1,-,Darkvision 60 ft.| undead traits| +2 turn resistance,0,2,5,13,155,-,13,14,12,Balance +6| Climb +5| Hide +6| Jump +5| Move Silently +6| Spot +7,Multiattack,Any aquatic,1,None,Chaotic Evil,-,Solitary| gang (2–4)| or pack (7–12),3 HD (Medium)
120,Lavawight,Undead,Fire,Medium,32,d12,0,12,12|0|0|0|0,46|18|38,16,37,Claw +40 (3d8+21/19-20 (+1d6 on critical hit) plus blazefire) melee,2 claws +40 (3d8+21/19-20 (+1d6 on critical hit) plus blazefire) melee| 1 skull butt +32 (2d6+10 plus blazefire) melee,1|1,Rend 6d8+31| blazefire| spell-like abilities,Undead traits| fire subtype| heat aura| SR 34| DR 10/–| fiery hardness,12,18,24,52,27,-,10,22,28,Jump +33| Knowledge (religion) +33| Listen +41| Search +35| Spot +41,Blinding Speed (×2)| Cleave| Epic Weapon Focus (claw)| Great Cleave| Great fortitude| Improved Critical (claw)| Improved Initiative| Overwhelming Critical (claw)| Power Attack| Weapon Focus (claw),Any,23,Standard,Chaotic Evil,-,Solitary or pair,33–42 HD (Medium-size)| 43–55 HD (Huge)
121,Mummy,Undead,-,Medium,8,d12,3,0,4|0|0|0|0,20|10|20,4,11,Slam +11 melee (1d6+10 plus mummy rot),Slam +11 melee (1d6+10 plus mummy rot),1|1,Despair| mummy rot,Damage reduction 5/–| darkvision 60 ft.| undead traits| vulnerability to fire,4,2,8,24,10,-,6,14,15,Hide +7| Listen +8| Move Silently +7| Spot +8,Alertness| Great Fortitude| Toughness,Any,5,Standard,Lawful Evil,-,Solitary| warden squad (2–4)| or guardian detail (6–10),9–16 HD (Medium)| 17–24 HD (Large)
